"codMinInterno","codIstat","anno","QliRifiuti","KmStrade","Studenti","NrPuntiLuce","NrPermessi","NrIscritti","KmPolizia","NrCertificati","ImpTot","ImpPers","ImpNoPers","vecchiaia","laurea","superficie","altitudine","litoraneità","gradourb","ruralità","PopTot"
1010812930,1307,1994,13401.8771339264,104.01895904541,345,611,50,3692.66105769231,18398,1589,1643135.51,760040.973205566,883094.536794434,0.200336292386055,0.111698292195797,11.54,530,0,2,0,4163
1010812960,1310,1994,3660.55040359497,28,98,234,13,899.713740458015,4732,295,435036.44,191699.020385742,243337.419614258,0.177142858505249,0.125714287161827,14.15,246,0,2,1,1050
1010812970,1311,1994,900.000013947487,33.7352523803711,105,291,15,1234,5950,592,646159.37,237542.8,408616.57,0.30257511138916,0.0958512127399445,16.91,243,0,1,1,1398
1010812990,1313,1994,733.037042498589,44.2003593444824,116,299,18,1070.86569579288,4820,471,634736.984008789,225839.703063965,408897.280944824,0.263540834188461,0.122069522738457,84.49,774,0,1,1,1237
1010880060,2006,1994,414.079945921898,24.9615707397461,91,206,15,865.743639921722,4471,750,512333.51,185674.194030762,326659.315969238,0.234021633863449,0.120943956077099,23.2,185,0,1,1,1017
1010880070,2007,1994,482,48.0107421875,104,342,32,1269,6132,1098,631085.02,258337.251281738,372747.768718262,0.258657246828079,0.0989399328827858,26.34,127,0,1,1,1415
1010880150,2015,1994,825,89.0477600097656,234,438,31,2248,11981,2626,919689.4,468293.321228027,451396.078771973,0.247563347220421,0.122807018458843,39.32,242,0,1,1,2565
1010880290,2029,1994,90.0000042915344,1.91432988643646,7,23,2,74.52,338,39,72475.95,24754.3,47721.65,0.296296298503876,0.111111111938953,22.89,1304,0,1,1,81
1010880300,2030,1994,358,25.9808750152588,75,256,17,944.912568306011,4822,856,513787.85,146801.32,366986.53,0.331486612558365,0.0932594612240791,23.73,119,0,1,1,1083
1010880310,2031,1994,422.700010061264,25.4459857940674,93,220,23,793.035185185185,3300,389,450067.4,225119.995117188,224947.404882813,0.109207712113857,0.134903639554977,11.13,135,0,1,1,934
1010880320,2032,1994,405,32.0908622741699,92,176,23,841.268852459016,4213,322,591002.8,231627.746582031,359375.053417969,0.198751300573349,0.129032254219055,30.11,183,0,1,1,961
1010881301,2035,1994,141.50001513958,5.81486654281616,30,54,7,328.980662983425,1327,192,205355.14,66998.4,138356.74,0.256064683198929,0.110512129962444,9.64,197,0,1,1,371
1010880450,2045,1994,254.587147951126,2.05402874946594,8,20,2,100,452,74,85223.65,30856.75,54366.9,0.297297298908234,0.0990990996360779,9.12,143,0,1,1,111
1010880470,2047,1994,1086.54803276062,25,59,175,13,809,3629,395,750538.41,212104.4921875,538433.9178125,0.334090918302536,0.0909090936183929,21.12,129,0,1,1,880
1010880590,2059,1994,210.590747330961,13.5639142990112,49,100,11,503.073083778966,2000,238,310406.09,92973.09,217433,0.170474514365196,0.114235498011112,17.05,157,0,1,1,569
1010880620,2062,1994,1999.99999237061,21.2093257904053,80,176,15,775.482985496521,3745,208,364719.8,205355.712890625,159364.087109375,0.239436626434326,0.126760557293892,12.52,206,0,1,1,852
1010880780,2079,1994,644.904576539993,38,96,213,19,1286.96855775803,6194,485,551009.93,263814.366149902,287195.563850098,0.316955029964447,0.089965395629406,20.19,322,0,1,1,1445
1010880810,2082,1994,350.815850815851,21.1193332672119,62,194,19,769.959207459208,3729,297,577460.906982422,210899.353027344,366561.553955078,0.28571429848671,0.096000000834465,11.82,107,0,1,1,875
1010880920,2093,1994,332,28.142520904541,102,245,25,972,4969,336,424162.44,157295.21,266867.23,0.252017945051193,0.122869953513145,17.42,117,0,1,1,1115
1010881010,2102,1994,1641.73170731707,13.9721221923828,42,83,12,504,2453,281,281341.45,136662.780761719,144678.669238281,0.27336859703064,0.100529097020626,16.65,459,0,1,1,567
1010881070,2108,1994,1075.82938337326,10.6788635253906,44,70,6,413.226849079132,1886,225,222347.09,89178.68,133168.41,0.187224671244621,0.129955947399139,11.06,140,0,1,1,454
1010881110,2112,1994,100.000001430511,3.7504448890686,5,33,3,137.83850931677,667,47,96353.4770507812,35190.0634765625,61163.4135742188,0.212328761816025,0.0547945201396942,24.28,906,0,1,1,146
1010881150,2116,1994,947.854367494583,86.6332321166992,231,445,41,2147.62612062693,11058,1021,1121881.76,360848.44,761033.32,0.208316341042519,0.119037911295891,28.14,278,0,1,1,2453
1010881250,2126,1994,101.808828413486,6.00778484344482,23,49,6,219.264705882353,1061,186,131576.69,53453.81,78122.88,0.183673471212387,0.12653061747551,12.07,148,0,1,1,245
1010881300,2131,1994,738,62.0072631835938,172,487,20,1611,8042,780,726528.84,333138.97,393389.87,0.25613659620285,0.11259338259697,30.68,161,0,1,1,1874
